"","STATE","COUNTY","CTYNAME","STNAME","pop09","pop19","pop29","pop39","pop49","pop59","pop69","pop79","pop89"
"111","04","027","Yuma County","Arizona",30117,29597,33280,26688,21316,21218,20247,19385,11939
"112","05","001","Arkansas County","Arkansas",2272,2080,1969,1906,2162,2319,2375,1517,886
"113","05","003","Ashley County","Arkansas",2354,2435,2257,2059,2392,2720,2542,1962,936
"114","05","005","Baxter County","Arkansas",3856,4288,3780,3989,3999,5587,6793,6174,3466
"115","05","007","Benton County","Arkansas",39530,39579,36595,42505,36651,32093,26241,17159,8788
"116","05","009","Boone County","Arkansas",4622,4655,4305,4218,4360,4988,4703,3646,1935
"117","05","011","Bradley County","Arkansas",1382,1444,1162,1296,1305,1402,1334,907,531
"118","05","013","Calhoun County","Arkansas",537,548,620,560,590,804,761,500,269
"119","05","015","Carroll County","Arkansas",3236,3469,2947,3046,3082,3705,4316,3192,1387
"120","05","017","Chicot County","Arkansas",1168,1260,1189,1078,1127,1356,1486,872,582
"121","05","019","Clark County","Arkansas",2337,3527,4650,2165,2244,2360,2399,1682,956
"122","05","021","Clay County","Arkansas",1675,1728,1727,1537,1688,2011,1889,1500,796
"123","05","023","Cleburne County","Arkansas",2379,2757,2315,2536,2665,3518,3783,3203,1763
"124","05","025","Cleveland County","Arkansas",832,1059,805,903,960,1138,1071,768,420
"125","05","027","Columbia County","Arkansas",2666,3676,4053,2445,2334,2727,2660,1758,1138
"126","05","029","Conway County","Arkansas",2596,2557,2311,2411,2404,2908,2765,1832,1062
"127","05","031","Craighead County","Arkansas",15331,15922,16863,15461,13211,12291,10763,6752,3738
"128","05","033","Crawford County","Arkansas",8169,8664,7505,7763,7800,8356,7517,5022,2461
"129","05","035","Crittenden County","Arkansas",7153,7037,6361,5920,5609,6009,5257,3114,1495
"130","05","037","Cross County","Arkansas",2059,2104,1916,1919,2013,2173,1993,1512,730
"131","05","039","Dallas County","Arkansas",733,862,725,760,759,913,1066,746,445
"132","05","041","Desha County","Arkansas",1522,1615,1266,1272,1191,1408,1577,986,524
"133","05","043","Drew County","Arkansas",2173,2480,2997,2036,1917,2240,2064,1419,893
"134","05","045","Faulkner County","Arkansas",15521,17458,23955,16856,14991,14393,12033,7371,3429
"135","05","047","Franklin County","Arkansas",2019,2375,2037,1993,2150,2394,2282,1540,925
"136","05","049","Fulton County","Arkansas",1378,1496,1187,1183,1305,1693,1931,1503,801
"137","05","051","Garland County","Arkansas",10741,11139,10875,11016,11236,12939,14639,11005,5796
"138","05","053","Grant County","Arkansas",2079,2347,2069,2313,2341,2543,2208,1589,776
"139","05","055","Greene County","Arkansas",5975,6063,5817,5794,5886,5814,4917,3378,1681
"140","05","057","Hempstead County","Arkansas",3115,2905,2508,2319,2432,2807,2632,1811,1003
"141","05","059","Hot Spring County","Arkansas",3533,4106,4218,4128,4377,4565,4422,2988,1434
"142","05","061","Howard County","Arkansas",1922,1821,1467,1597,1460,1730,1518,1077,610
"143","05","063","Independence County","Arkansas",5016,5242,4493,4555,4556,4737,4510,2972,1744
"144","05","065","Izard County","Arkansas",1261,1417,1412,1467,1602,1894,1984,1616,976
"145","05","067","Jackson County","Arkansas",1861,1818,2294,2304,2107,2177,2051,1419,688
"146","05","069","Jefferson County","Arkansas",7924,8697,9255,8118,7593,8612,8630,5223,2772
"147","05","071","Johnson County","Arkansas",3516,3827,3306,3298,3046,3423,3061,2081,1020
"148","05","073","Lafayette County","Arkansas",627,716,758,619,717,1003,991,771,422
"149","05","075","Lawrence County","Arkansas",1952,2162,2070,1851,1858,2143,1991,1493,886
"150","05","077","Lee County","Arkansas",893,909,1255,1187,1138,1141,1065,821,448
"151","05","079","Lincoln County","Arkansas",1081,1338,2169,2099,1784,1764,1313,935,541
"152","05","081","Little River County","Arkansas",1484,1512,1368,1361,1495,1605,1640,1241,553
"153","05","083","Logan County","Arkansas",2399,2622,2428,2345,2634,3183,2816,2007,1032
"154","05","085","Lonoke County","Arkansas",9958,10303,9364,10409,9548,9391,7603,4587,2146
"155","05","087","Madison County","Arkansas",2095,2114,1882,1890,1917,2287,2239,1453,699
"156","05","089","Marion County","Arkansas",1619,1664,1367,1521,1648,2399,3208,2315,953
"157","05","091","Miller County","Arkansas",5597,5445,5523,5474,5353,5680,5088,3386,1711
"158","05","093","Mississippi County","Arkansas",5775,5843,5373,5031,4694,5186,4666,2655,1428
"159","05","095","Monroe County","Arkansas",793,715,740,624,686,971,1058,679,435
"160","05","097","Montgomery County","Arkansas",869,975,873,752,930,1422,1433,1146,586
"161","05","099","Nevada County","Arkansas",1012,1049,883,888,950,1141,1136,756,437
"162","05","101","Newton County","Arkansas",758,897,734,783,779,1057,1305,995,445
"163","05","103","Ouachita County","Arkansas",2775,2920,2583,2568,2564,3182,3514,2066,1210
"164","05","105","Perry County","Arkansas",1229,1329,1130,1119,1286,1498,1410,955,499
"165","05","107","Phillips County","Arkansas",2571,2444,2128,1825,1799,2254,2464,1503,794
"166","05","109","Pike County","Arkansas",1200,1341,1197,1141,1388,1495,1416,1016,524
"167","05","111","Poinsett County","Arkansas",3078,3045,2857,2749,2810,3180,2798,2057,954
"168","05","113","Polk County","Arkansas",2385,2570,2088,1973,2240,2602,2792,2236,1078
