state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
AR,AR 05137,1241,2617,1755,2038,1623,862
AR,AR 05139,5065,10095,5094,4996,3086,1691
AR,AR 05141,1660,3522,2324,2595,2045,1140
AR,AR 05143,32090,67351,25253,21007,12741,6493
AR,AR 05145,9656,20850,10227,8640,6170,3053
AR,AR 05147,737,1478,817,936,652,357
AR,AR 05149,2727,5675,2897,2581,1669,999
AZ,AZ 04001,10223,21424,8845,8335,5011,2539
AZ,AZ 04003,14695,30143,14896,17314,13598,6810
AZ,AZ 04005,15589,38457,15117,15116,8206,3541
AZ,AZ 04007,5934,11635,6754,9369,7618,3542
AZ,AZ 04009,5612,11562,3883,3694,2422,1326
AZ,AZ 04011,1446,2793,1058,931,518,357
AZ,AZ 04012,1880,3826,2178,2974,4219,2558
AZ,AZ 04013,566323,1172216,544401,464292,317462,163016
AZ,AZ 04015,18652,38950,28033,37432,31966,15106
AZ,AZ 04017,15621,31876,13310,14412,9692,4264
AZ,AZ 04019,116668,247305,119051,129645,97101,51767
AZ,AZ 04021,54419,112806,50685,57105,48439,19284
AZ,AZ 04023,6635,13768,5380,5430,4070,1945
AZ,AZ 04025,19666,42123,30669,46266,36160,16273
AZ,AZ 04027,30117,59714,21218,20247,19385,11939
CA,CA 06001,189717,379348,212286,175695,101255,58072
CA,CA 06003,90,227,151,232,127,53
CA,CA 06005,3284,6631,5762,6754,5159,2329
CA,CA 06007,24478,52100,24506,26903,17407,9652
CA,CA 06009,4162,8630,6657,8639,6014,2684
CA,CA 06011,3077,6428,2529,2302,1421,740
CA,CA 06013,135224,285460,160117,132500,82681,44747
CA,CA 06015,3164,6375,3496,3781,2263,1104
CA,CA 06017,19152,41933,29084,31003,18868,8886
CA,CA 06019,156774,309135,108749,90670,54065,29938
CA,CA 06021,4120,8305,3438,3232,1950,1058
CA,CA 06023,14096,30167,15366,18070,10969,5218
CA,CA 06025,29343,56780,19426,16441,10349,6363
CA,CA 06027,2100,4077,2326,2882,1762,1128
CA,CA 06029,142639,284136,98217,79412,44624,21604
CA,CA 06031,23440,45366,16036,11854,6890,3928
CA,CA 06033,7650,14860,8714,10167,6923,3048
CA,CA 06035,2974,5896,3638,3444,2059,1017
CA,CA 06037,1180047,2399105,1294604,1028864,593709,362648
CA,CA 06039,23776,47285,17475,16027,10092,4931
CA,CA 06041,25167,56769,40387,37120,26733,14636
CA,CA 06043,1504,3060,2361,3237,2271,1144
CA,CA 06045,10072,20113,10671,13220,9241,3988
CA,CA 06047,44191,91978,29718,23523,13925,7400
CA,CA 06049,922,1867,1148,1498,1129,533
CA,CA 06051,1366,2886,2017,2054,1005,440
CA,CA 06053,62322,125583,49312,43627,25717,14970
CA,CA 06055,14169,31118,18700,17680,11747,6939
CA,CA 06057,8851,18558,13472,18511,12837,5991
CA,CA 06059,371611,770503,437302,342694,210448,123408
CA,CA 06061,45606,96507,53443,49888,35869,19589
CA,CA 06063,1768,3658,2531,3745,2534,1019
CA,CA 06065,326317,683510,300743,248164,163713,89615
CA,CA 06067,199227,398160,192834,165093,96703,53074
CA,CA 06069,8472,17669,8128,6443,3517,1872
CA,CA 06071,310557,629595,260027,208007,112935,55841
