state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
Arkansas,Arkansas 05057,3115,6020,2807,2632,1811,1003
Arkansas,Arkansas 05059,3533,7639,4565,4422,2988,1434
Arkansas,Arkansas 05061,1922,3743,1730,1518,1077,610
Arkansas,Arkansas 05063,5016,10258,4737,4510,2972,1744
Arkansas,Arkansas 05065,1261,2678,1894,1984,1616,976
Arkansas,Arkansas 05067,1861,3679,2177,2051,1419,688
Arkansas,Arkansas 05069,7924,16621,8612,8630,5223,2772
Arkansas,Arkansas 05071,3516,7343,3423,3061,2081,1020
Arkansas,Arkansas 05073,627,1343,1003,991,771,422
Arkansas,Arkansas 05075,1952,4114,2143,1991,1493,886
Arkansas,Arkansas 05077,893,1802,1141,1065,821,448
Arkansas,Arkansas 05079,1081,2419,1764,1313,935,541
Arkansas,Arkansas 05081,1484,2996,1605,1640,1241,553
Arkansas,Arkansas 05083,2399,5021,3183,2816,2007,1032
Arkansas,Arkansas 05085,9958,20261,9391,7603,4587,2146
Arkansas,Arkansas 05087,2095,4209,2287,2239,1453,699
Arkansas,Arkansas 05089,1619,3283,2399,3208,2315,953
Arkansas,Arkansas 05091,5597,11042,5680,5088,3386,1711
Arkansas,Arkansas 05093,5775,11618,5186,4666,2655,1428
Arkansas,Arkansas 05095,793,1508,971,1058,679,435
Arkansas,Arkansas 05097,869,1844,1422,1433,1146,586
Arkansas,Arkansas 05099,1012,2061,1141,1136,756,437
Arkansas,Arkansas 05101,758,1655,1057,1305,995,445
Arkansas,Arkansas 05103,2775,5695,3182,3514,2066,1210
Arkansas,Arkansas 05105,1229,2558,1498,1410,955,499
Arkansas,Arkansas 05107,2571,5015,2254,2464,1503,794
Arkansas,Arkansas 05109,1200,2541,1495,1416,1016,524
Arkansas,Arkansas 05111,3078,6123,3180,2798,2057,954
Arkansas,Arkansas 05113,2385,4955,2602,2792,2236,1078
Arkansas,Arkansas 05115,7975,17126,7951,6833,4723,2507
