Location,fips,location_indicator,city_geolocation,county_geolocation
"Washington, Kent",Washington 53033,0,"(47.3849636272, -122.217890194)","(47.4902, -121.8048)"
"Massachusetts, Quincy",Massachusetts 25025,0,"(42.2492981918, -71.0218764062)","(42.3308, -71.0818)"
"Florida, Davie",Florida 12011,0,"(26.0789340778, -80.2869750311)","(26.1519, -80.4886)"
"California, Carson",California 06059,0,"(33.8374083001, -118.255936422)","(33.703, -117.7605)"
"Oregon, Hillsboro",Oregon 41067,0,"(45.529027994, -122.937442209)","(45.5601, -123.0985)"
"Missouri, Lee's Summit",Missouri 29095,1,"(38.9170508128, -94.3814865856)","(39.0085, -94.3461)"
"Georgia, Macon",Georgia 13021,0,"(32.8320417692, -83.6495823768)","(32.8067, -83.6979)"
"Texas, Pearland",Texas 48201,0,"(29.5584850577, -95.3208389111)","(29.8588, -95.3963)"
"Washington, Yakima",Washington 53077,0,"(46.5925792092, -120.547807614)","(46.4569, -120.7387)"
"Washington, Renton",Washington 53033,1,"(47.4760546752, -122.191153327)","(47.4902, -121.8048)"
"Alabama, Tuscaloosa",Alabama 01125,0,"(33.2336083951, -87.5268004073)","(33.2896, -87.525)"
"Massachusetts, Lynn",Massachusetts 25025,0,"(42.4783322881, -70.9662372538)","(42.3308, -71.0818)"
"Nevada, Sparks",Nevada 32029,1,"(39.573373276, -119.713134168)","(39.4466, -119.5291)"
"California, Hesperia",California 06037,0,"(34.3973476773, -117.314392219)","(34.3203, -118.2252)"
"California, Redding",California 06089,0,"(40.5697591271, -122.365026322)","(40.7638, -122.0405)"
"Oregon, Beaverton",Oregon 41067,0,"(45.4795765674, -122.814973469)","(45.5601, -123.0985)"
"Washington, Spokane Valley",Washington 53063,1,"(47.662556574, -117.234571922)","(47.6206, -117.404)"
"California, Santa Monica",California 06037,0,"(34.0231891612, -118.481563937)","(34.3203, -118.2252)"
"California, Westminster",California 06059,0,"(33.7521523769, -117.993760054)","(33.703, -117.7605)"
"Washington, Federal Way",Washington 53053,0,"(47.3090846316, -122.335755583)","(47.023, -122.102)"
"Illinois, Waukegan",Illinois 17097,0,"(42.3702955582, -87.8712595095)","(42.3231, -88.0036)"
"Massachusetts, Fall River",Massachusetts 25005,0,"(41.7139907598, -71.0996396919)","(41.802, -71.1153)"
"California, Santa Barbara",California 06083,0,"(34.4285733874, -119.720187334)","(34.6731, -120.0165)"
"Georgia, Roswell",Georgia 13067,0,"(34.0391384583, -84.3512225277)","(33.9415, -84.5767)"
"Utah, Orem",Utah 49049,0,"(40.2987127625, -111.699188517)","(40.1196, -111.6706)"
"Pennsylvania, Reading",Pennsylvania 42011,1,"(40.3399678686, -75.9266128837)","(40.4164, -75.926)"
"Florida, Miami Beach",Florida 12086,0,"(25.8167101614, -80.1341952652)","(25.6171, -80.5682)"
"Kansas, Lawrence",Kansas 20045,0,"(38.9599302924, -95.2628259088)","(38.8845, -95.2924)"
"New Mexico, Rio Rancho",New Mexico 35001,0,"(35.287307935, -106.697981552)","(35.0515, -106.6702)"
"Utah, Sandy",Utah 49035,0,"(40.5702254423, -111.852431062)","(40.6676, -111.9239)"
"New Hampshire, Nashua",New Hampshire 33011,0,"(42.7491554459, -71.4909587631)","(42.9153, -71.716)"
"Colorado, Longmont",Colorado 08013,0,"(40.1695164708, -105.10195106)","(40.0925, -105.3575)"
"Minnesota, Duluth",Minnesota 27017,0,"(46.7854703427, -92.1342013763)","(46.5924, -92.6771)"
"Arkansas, Fort Smith",Arkansas 05131,0,"(35.3491692636, -94.3696317306)","(35.1993, -94.274)"
"California, Chico",California 06007,0,"(39.7568503668, -121.815983972)","(39.6669, -121.6007)"
"Connecticut, Norwalk",Connecticut 09001,0,"(41.1175631682, -73.4224513123)","(41.2731, -73.3887)"
"California, Whittier",California 06059,0,"(33.9678255596, -118.018796341)","(33.703, -117.7605)"
"California, Newport Beach",California 06059,0,"(33.6150103607, -117.867364631)","(33.703, -117.7605)"
"Florida, Deltona",Florida 12127,0,"(28.905060048, -81.2134269839)","(29.0604, -81.1912)"
"Massachusetts, Newton",Massachusetts 25025,0,"(42.3316567616, -71.2084466944)","(42.3308, -71.0818)"
"Florida, Plantation",Florida 12011,0,"(26.1259853923, -80.2616762465)","(26.1519, -80.4886)"
"California, San Leandro",California 06001,0,"(37.7074299262, -122.159061655)","(37.6466, -121.886)"
"New Jersey, Trenton",New Jersey 34021,0,"(40.2237289981, -74.7639943311)","(40.2833, -74.7014)"
"Virginia, Suffolk",Virginia 51093,0,"(36.6930367981, -76.6414278469)","(36.8908, -76.7269)"
"North Carolina, Greenville",North Carolina 37147,0,"(35.5959211876, -77.3766133673)","(35.5935, -77.3748)"
"Florida, Sunrise",Florida 12011,0,"(26.1546878303, -80.299841102)","(26.1519, -80.4886)"
"Florida, Boca Raton",Florida 12099,1,"(26.3749012715, -80.1078208861)","(26.623, -80.4329)"
"California, Hawthorne",California 06037,0,"(33.914667701, -118.347667728)","(34.3203, -118.2252)"
"Texas, Allen",Texas 48085,0,"(33.1087043234, -96.6735373763)","(33.1878, -96.5724)"
"New Jersey, Clifton",New Jersey 34017,0,"(40.8631217425, -74.1575145342)","(40.7409, -74.0778)"
"Michigan, Westland",Michigan 26163,0,"(42.3192220455, -83.3805461719)","(42.284, -83.2865)"
"Illinois, Cicero",Illinois 17031,1,"(41.844539143, -87.7592873023)","(41.8399, -87.8167)"
"California, San Marcos",California 06073,0,"(33.134965986, -117.174363098)","(33.0354, -116.7335)"
"Texas, League City",Texas 48167,0,"(29.4872995808, -95.1089858945)","(29.3941, -94.965)"
"North Carolina, Asheville",North Carolina 37021,0,"(35.5708251391, -82.5537350816)","(35.6112, -82.5302)"
"California, Citrus Heights",California 06067,0,"(38.6947788342, -121.287991502)","(38.4542, -121.3384)"
"California, Alhambra",California 06037,0,"(34.0839734383, -118.135514119)","(34.3203, -118.2252)"
"California, Tracy",California 06077,0,"(37.7243277375, -121.444621463)","(37.9345, -121.272)"
"Minnesota, Bloomington",Minnesota 27053,0,"(44.8305852429, -93.3150995817)","(45.0045, -93.4768)"
"Utah, Ogden",Utah 49057,0,"(41.2281567535, -111.967450557)","(41.2699, -111.9133)"
"Iowa, Sioux City",Iowa 19149,0,"(42.4963149039, -96.3913834837)","(42.7378, -96.2142)"
"Rhode Island, Warwick",Rhode Island 44001,0,"(41.7064727301, -71.4345615049)","(41.7161, -71.2842)"
"Alabama, Hoover",Alabama 01117,0,"(33.3767602729, -86.8051937568)","(33.2643, -86.6607)"
"Ohio, Parma",Ohio 39035,1,"(41.3842399838, -81.728599153)","(41.4243, -81.6587)"
"Idaho, Nampa",Idaho 16027,0,"(43.5829315681, -116.564145085)","(43.625, -116.7092)"
"Oklahoma, Edmond",Oklahoma 40109,1,"(35.6689350516, -97.4159205309)","(35.5515, -97.4072)"
"Illinois, Champaign",Illinois 17019,0,"(40.1151051361, -88.2729845986)","(40.1401, -88.1991)"
"Michigan, Troy",Michigan 26125,0,"(42.5817340358, -83.1457545154)","(42.6604, -83.3855)"
"California, Livermore",California 06001,0,"(37.6865101361, -121.764357841)","(37.6466, -121.886)"
"Connecticut, Danbury",Connecticut 09001,0,"(41.4015898606, -73.470938682)","(41.2731, -73.3887)"
"Washington, Bellingham",Washington 53055,0,"(48.7535370315, -122.468092906)","(48.5786, -122.9627)"
"Indiana, Hammond",Indiana 18089,0,"(41.6171442828, -87.4909551115)","(41.4156, -87.3817)"
"California, Buena Park",California 06059,0,"(33.8572126844, -118.004517591)","(33.703, -117.7605)"
"Texas, Longview",Texas 48183,0,"(32.5192857856, -94.762197598)","(32.4803, -94.8172)"
